"n_Acc","x","y","shoe","row_number","min_dist","horiz_dist"
1,-0.118333333333333,0.201666666666667,181,24271,0.0687184270936281,0.0700000000000003
1,-0.118333333333333,-0.255,181,24272,0.0390156663690657,0.0400000000000003
1,-0.115,-0.241666666666667,181,24273,0.04,0.04
1,-0.108333333333333,-0.248333333333333,181,24274,0.0471404520791034,0.0471404520791034
1,-0.108333333333333,-0.458333333333333,181,24275,0.0240370085030937,0.0307318148576434
1,-0.0983333333333333,-0.245,181,24276,0.0567646212197547,0.0567646212197547
1,-0.095,0.395,181,24277,0.0477260702109212,0.0501109879279097
1,-0.0916666666666667,0.375,181,24278,0.0582141639885766,0.0634209919681348
1,-0.0916666666666667,0.258333333333333,181,24279,0.1,0.1
1,-0.0916666666666667,0.248333333333333,181,24280,0.1,0.1
1,-0.0883333333333333,0.268333333333333,181,24281,0.102686145338329,0.103333333333333
1,-0.0883333333333333,0.0183333333333333,181,24282,0.0674124947205223,0.0674124947205223
1,-0.0883333333333333,0.0116666666666667,181,24283,0.0667499479816693,0.0667499479816693
1,-0.085,-0.275,181,24284,0.0703167436990966,0.0703167436990966
1,-0.085,-0.408333333333333,181,24285,0.0633333333333333,0.0633333333333333
1,-0.0816666666666667,-0.265,181,24286,0.0752034278178565,0.0766666666666666
1,-0.0783333333333333,0.301666666666667,181,24287,0.103494497975067,0.106874796945876
1,-0.0716666666666667,0.145,181,24288,0.104189997387252,0.106666666666667
1,-0.0716666666666667,-0.465,181,24289,0.0380058475033046,0.0575422550054402
1,-0.0583333333333333,0.175,181,24290,0.12369316876853,0.123738074621804
1,-0.0483333333333333,0.0716666666666667,181,24291,0.11508451001088,0.116714276000077
1,-0.045,-0.231666666666667,181,24292,0.11,0.11
1,-0.045,-0.258333333333333,181,24293,0.111255461788524,0.113333333333333
1,-0.045,-0.261666666666667,181,24294,0.111803398874989,0.113333333333333
1,-0.035,-0.288333333333333,181,24295,0.12,0.12
1,-0.0316666666666667,0.295,181,24296,0.148847423745107,0.156666666666667
1,-0.0283333333333333,-0.265,181,24297,0.127758452644912,0.13
1,-0.00833333333333333,-0.00833333333333333,181,24298,0.146666666666667,0.146666666666667
1,0.025,0.235,181,24299,0.159199385816794,0.170032676598091
1,0.0316666666666667,-0.408333333333333,181,24300,0.0833333333333337,0.116666666666667
1,0.0383333333333333,-0.265,181,24301,0.105251022692313,0.106666666666667
1,0.0416666666666667,-0.258333333333333,181,24302,0.103333333333333,0.103333333333333
1,0.045,0.231666666666667,181,24303,0.141264134002781,0.150148075060736
1,0.0483333333333333,-0.248333333333333,181,24304,0.0966666666666667,0.0966666666666667
1,0.055,0.191666666666667,181,24305,0.146211414663075,0.153659074288215
1,0.0583333333333333,-0.321666666666667,181,24306,0.08,0.08
1,0.0583333333333333,-0.391666666666667,181,24307,0.0839311887467612,0.0866666666666667
1,0.0616666666666667,-0.005,181,24308,0.122383731671239,0.133499895963339
1,0.0716666666666667,-0.0116666666666667,181,24309,0.110403301077861,0.120185042515466
1,0.0783333333333333,-0.438333333333333,181,24310,0.0647216261298255,0.0700793201387622
